run_id,label,valid,max_running_requests,chunked_prefill_size,radix_cache,request_count,success_count,throughput_requests_s,throughput_output_tokens_s,energy_j,joules_per_request,joules_per_1000_output_tokens,p95_ttft_ms,p95_tpot_ms,p95_e2e_ms,queue_median,queue_nonzero_fraction
026-s2-chunk-screen-mrr-128_chunk-4096_cache-off,s2-chunk-screen-mrr-128_chunk-4096_cache-off,False,128,4096,False,295,295,6.19273165046296,792.6696512592589,60703.578000068665,205.77484067819887,1607.6159427984287,1103.2081995159388,132.0090960007249,17059.310399740934,1.0,0.5578947368421052
027-s2-chunk-screen-mrr-128_chunk-8192_cache-off,s2-chunk-screen-mrr-128_chunk-8192_cache-off,True,128,8192,False,295,295,6.275848783127812,803.30864424036,58960.700999736786,199.86678304995522,1561.459242577775,839.5384322851896,77.45326419368268,10112.50263992697,0.0,0.30851063829787234
028-s2-interaction-mrr-128_chunk-8192_cache-off,s2-interaction-mrr-128_chunk-8192_cache-off,False,128,8192,False,311,311,5.827231130921358,745.8855847579338,61908.047999858856,199.0612475879706,1555.1659967810203,951.4151932671666,139.188374708018,18132.61711783707,0.0,0.29906542056074764
029-s3-capacity-c64,s3-capacity-c64,True,128,8192,False,64,64,12.092031448823228,1547.7800254493732,6449.328000068665,100.77075000107288,787.2714843833819,3780.4983829148114,36.69459053542553,5276.072429586202,21.0,0.7
030-s3-capacity-c128,s3-capacity-c128,True,128,8192,False,128,128,13.749069044886804,1759.880837745511,12093.15399980545,94.47776562348008,738.1075439334381,6954.9394896253925,67.05072360905254,9263.916494045407,41.0,0.8333333333333334
031-s3-capacity-c256,s3-capacity-c256,True,128,8192,False,256,256,13.90738135465959,1780.1448133964275,24198.321000099182,94.52469140663743,738.4741516143549,15682.286002673209,64.42332220461778,18258.970117662102,101.0,0.8648648648648649
032-s3-cold-PX0-mrr-128_chunk-8192_cache-off,s3-cold-PX0-mrr-128_chunk-8192_cache-off,True,128,8192,False,548,548,11.837328327656428,1515.1780259400227,58606.48799991608,106.94614598524832,835.5167655097524,798.1028161011636,68.58657193553493,9007.900548540056,0.0,0.17391304347826086
033-s3-cold-PX50-mrr-128_chunk-8192_cache-off,s3-cold-PX50-mrr-128_chunk-8192_cache-off,False,128,8192,False,544,544,11.23118284426017,1437.5914040653017,55607.98999977112,102.22056985252044,798.5982019728159,7570.720574259758,130.47115321630451,16778.06106377393,42.0,0.6597938144329897
034-s3-cold-PX87-mrr-128_chunk-8192_cache-off,s3-cold-PX87-mrr-128_chunk-8192_cache-off,False,128,8192,False,544,542,11.834629471248926,1514.8325723198625,58558.614000320435,108.04172324782368,844.0759628736225,463.4062558412552,67.38232032241899,8745.384279731657,0.0,0.16304347826086957
035-s3-cold-PX0-mrr-128_chunk-8192_cache-on,s3-cold-PX0-mrr-128_chunk-8192_cache-on,True,128,8192,True,548,548,11.808101202447329,1511.436953913258,57860.296999931335,105.58448357651703,824.8787779415393,1265.5305057764049,56.95438159365705,7682.469580788165,0.0,0.44086021505376344
